x1,x2,y
0.38565236,0.381247527,0.003378066
-0.461839317,-0.655550586,-0.216451016
0.108814407,0.005102224,0.011814543
0.770741396,0.83613162,-0.105073787
-0.745999531,-0.579379329,0.220834893
-0.873805635,-0.997096069,-0.230664281
0.571378049,-0.829256464,-0.361193408
0.346256339,-0.601153544,-0.241492131
0.029949345,0.677895435,-0.458645257
0.679612646,-0.031032802,0.460910314
0.023800226,-0.555569137,-0.308090615
-0.504812137,-0.311819422,0.157603942
-0.67003353,-0.400631019,0.288439718
0.893209591,-0.010962076,0.797703206
0.896416594,0.397765162,0.645345586
0.974478167,0.26280497,0.880541247
0.588451825,-0.073416814,0.340885522
-0.766477736,0.510994738,0.326372498
-0.884791866,0.823879796,0.104078727
-0.636210561,0.692119701,-0.074265803
-0.948927287,-0.663609514,0.46008541
-0.057083323,0.962159448,-0.922492298
-0.316192895,0.264557929,0.029987049
0.78844307,0.3291116,0.51332803
0.060314757,0.447525093,-0.196640839
0.425543773,-0.295308175,0.093880585
0.697403887,0.947035632,-0.410504307
0.319014942,-0.315416931,0.002282693
-0.227260114,-0.719211543,-0.465618084
0.822021448,0.643510042,0.261614087
0.18462035,0.181242678,0.001235765
-0.523261296,-0.303453307,0.181718475
0.26172445,0.93806209,-0.811460796
0.205689147,0.633360737,-0.358837799
0.49455889,-0.003048768,0.244579201
0.914794174,-0.444486659,0.63927999
0.30934951,-0.514861418,-0.16938516
-0.494998062,-0.537128126,-0.043483543
-0.802189837,-0.021409224,0.64305018
-0.418208943,-0.142551518,0.154577785
-0.773252795,0.129315336,0.581197429
-0.511387702,0.674928434,-0.19401101
-0.914060322,0.345650637,0.71603191
0.955792762,-0.738850876,0.367639186
0.289624854,0.330048225,-0.025049275
-0.782246268,0.122104798,0.596999642
0.036980142,-0.416622104,-0.172206446
0.369391912,-0.993017781,-0.849633928
-0.853469091,-0.45757934,0.519030636
0.220855707,-0.656060503,-0.38163814
0.799542277,-0.436285254,0.448923029
-0.879868207,0.926549015,-0.084325016
-0.340705461,-0.675332116,-0.339993255
0.837255913,-0.358707432,0.572326442
0.660980642,0.630127475,0.039834774
0.433820477,-0.638115321,-0.218990957
0.860342213,0.585617492,0.397240876
0.439770443,0.047557499,0.191136327
0.27539654,0.937977876,-0.803959241
0.312533383,0.642279138,-0.314845376
0.432270715,-0.23194236,0.133060713
0.386520085,0.762383946,-0.431831506
